work_id,mesh_seq,mesh_descriptor_ui,mesh_qualifier_ui,is_major_topic
1996164423,3,D009203,Q000188,1
2990096265,9,D003141,,0
2399752519,12,D008906,,0
4290986159,2,D007227,,1
2055460841,3,D007033,Q000502,1
2151530107,17,D009865,,0
4301157332,14,D007422,Q000601,0
2401831866,9,D013549,,0
2418630525,4,D004761,Q000601,0
1997300911,12,D002895,,0
1621936179,3,D016849,Q000503,1
2131755255,16,D009206,,0
2340081422,19,D013997,,0
1012641198,8,D009752,,0
326095617,15,D006801,,0
1991029357,11,D001919,Q000503,0
2411796263,15,D012675,,0
2073381914,4,D000367,,0
3176618967,9,D000818,,0
2033695461,13,D008297,,0
2003734219,24,D013131,,0
2415637715,3,D010100,Q000097,1
2399670772,6,D001660,,0
2278938844,3,D003266,Q000191,1
2121782357,6,D002648,,0
3161137036,3,D001980,Q000473,0
1973409840,17,D008568,,0
4299361220,4,D007236,,1
2320485669,12,D014874,,0
2161066848,44,D017346,Q000235,0
4366996692,6,D002097,,0
3000946238,4,D036145,Q000494,1
2971408431,6,D000595,,0
2434837712,1,D000015,Q000175,1
1607206503,8,D000257,,0
1978687473,25,D016194,Q000037,0
4245345612,13,D014397,Q000382,0
2021640144,10,D005260,,0
1554258369,32,D006973,,0
2235726389,6,D020641,Q000235,1
2013625624,18,D012907,Q000523,0
2153873971,38,D021381,,0
3174131364,9,D008875,,0
2094695108,11,D005767,,0
2145309696,7,D006801,,0
4315629177,11,D009360,Q000473,0
2171767584,11,D008297,,0
2920962413,21,D020935,,0
2971821347,12,D019216,,0
2295844400,4,D000072458,Q000502,1
2146173262,6,D015632,,0
1782807785,16,D006019,,0
2341971587,13,D014065,,0
2586429360,3,D000293,,0
2895318171,4,D008691,Q000627,1
2889094156,18,D012309,,0
2472181633,6,D000941,,0
4389069588,2,D003092,Q000139,0
1989289559,35,D013997,,0
2469741796,1,D003731,Q000628,1
2417456873,32,D016896,,0
2433778599,2,D013812,Q000266,1
1995401577,2,D004928,Q000096,1
1978912886,2,D018521,,1
2397781699,24,D007275,,0
2753809446,5,D018202,Q000151,1
2140037930,11,D008099,,0
4300093219,11,D009937,,0
2617770688,14,D008264,Q000187,0
2414529413,5,D004594,,1
2063695221,8,D002657,,0
2314291083,4,D014584,,1
2990993350,12,D006515,,0
2096298678,9,D001629,Q000032,0
2763297049,2,D002734,Q000032,1
2009820936,5,D009466,Q000191,1
2466758595,1,D011313,,0
2154838118,5,D000825,,0
2140008879,5,D001188,,0
1419121583,1,D001943,Q000188,1
4283688212,5,D001205,,0
2407655537,1,D001203,,1
2017787913,11,D006801,,0
2199589872,4,D000293,,0
2065356744,5,D013177,Q000502,1
1982434076,5,D000818,,0
1832322029,15,D006562,,0
168003325,15,D004305,,0
2402615939,4,D008173,Q000451,1
1917549361,10,D004285,Q000601,0
2606945473,13,D005260,,0
2054878970,20,D009154,,0
1994497742,9,D000410,Q000097,0
4328048247,9,D059467,Q000235,0
2082919543,18,D003108,,0
2318703355,22,D017076,,0
2418718203,14,D051381,,0
1986420342,14,D006719,,0
2055175805,15,D000925,Q000627,0
2003361054,45,D018408,,0
2054429977,12,D007674,Q000473,0
2147773302,4,D003865,Q000097,1
2076832930,5,D001341,,0
